afltables_player,player_first_name,player_last_name,player,team_abbr,team,afl_round,match_round,actual_brownlow_votes,afltables_season_votes
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,1,0,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,2,1,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,4,3,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,6,5,1,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,7,6,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,8,7,2,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,9,8,1,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,10,9,0,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,11,10,0,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,12,11,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,13,12,2,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,14,13,2,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,16,15,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,17,16,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,18,17,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,19,18,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,20,19,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,21,20,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,22,21,0,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,23,22,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,24,23,3,47
"Daicos, Nick",Nick,Daicos,Nick Daicos,CW,Collingwood,25,24,0,47
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,1,0,0,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,2,1,0,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,4,3,3,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,5,4,3,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,6,5,3,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,7,6,2,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,8,7,0,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,9,8,0,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,10,9,3,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,11,10,2,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,12,11,0,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,13,12,2,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,14,13,2,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,15,14,3,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,18,17,0,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,19,18,0,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,20,19,3,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,21,20,0,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,22,21,1,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,23,22,3,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,24,23,3,36
"Smith, Bailey",Bailey,Smith,Bailey Smith,GE,Geelong,25,24,3,36
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,1,0,1,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,2,1,3,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,3,2,2,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,5,4,3,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,6,5,0,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,7,6,0,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,8,7,1,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,9,8,3,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,10,9,3,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,11,10,0,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,12,11,2,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,13,12,0,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,14,13,2,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,15,14,0,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,16,15,3,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,18,17,0,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,19,18,3,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,20,19,3,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,21,20,2,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,22,21,0,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,23,22,0,34
"Bontempelli, Marcus",Marcus,Bontempelli,Marcus Bontempelli,WB,Western Bulldogs,25,24,3,34
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,2,1,1,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,3,2,0,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,4,3,2,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,5,4,3,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,6,5,0,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,7,6,0,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,8,7,2,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,9,8,0,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,10,9,1,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,11,10,3,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,12,11,0,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,13,12,0,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,14,13,1,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,15,14,2,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,16,15,3,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,18,17,2,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,19,18,0,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,20,19,0,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,21,20,0,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,22,21,3,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,23,22,0,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,24,23,3,28
"Gawn, Max",Max,Gawn,Max Gawn,ME,Melbourne,25,24,2,28
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,1,0,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,2,1,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,4,3,2,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,5,4,3,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,6,5,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,7,6,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,8,7,2,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,9,8,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,10,9,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,11,10,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,12,11,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,13,12,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,14,13,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,15,14,3,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,17,16,2,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,18,17,3,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,19,18,3,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,20,19,2,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,21,20,2,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,22,21,0,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,23,22,2,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,24,23,3,27
"Ashcroft, Will",Will,Ashcroft,Will Ashcroft,BL,Brisbane Lions,25,24,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,1,0,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,2,1,2,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,4,3,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,5,4,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,6,5,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,7,6,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,8,7,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,9,8,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,10,9,1,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,11,10,3,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,12,11,3,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,13,12,3,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,14,13,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,16,15,2,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,17,16,3,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,18,17,2,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,19,18,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,20,19,2,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,21,20,3,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,22,21,0,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,23,22,2,27
"Cripps, Patrick",Patrick,Cripps,Patrick Cripps,CA,Carlton,24,23,1,27
