match_id,match_round,home,away,sum_votes,n_3,n_2,n_1,ok
17059,0,Sydney,Carlton,6,1,1,1,True
17060,0,Gold Coast,Geelong,6,1,1,1,True
17061,0,Greater Western Sydney,Hawthorn,6,1,1,1,True
17062,0,Brisbane Lions,Western Bulldogs,6,1,1,1,True
17063,0,St Kilda,Collingwood,6,1,1,1,True
17064,1,Carlton,Richmond,6,1,1,1,True
17065,1,Essendon,Hawthorn,6,1,1,1,True
17066,1,Western Bulldogs,Greater Western Sydney,6,1,1,1,True
17067,1,Geelong,Fremantle,6,1,1,1,True
17068,1,Sydney,Brisbane Lions,6,1,1,1,True
17069,1,Collingwood,Adelaide,6,1,1,1,True
17070,1,North Melbourne,Port Adelaide,6,1,1,1,True
17071,1,Melbourne,St Kilda,6,1,1,1,True
17072,1,Gold Coast,West Coast,6,1,1,1,True
17073,2,Hawthorn,Sydney,6,1,1,1,True
17074,2,Adelaide,Western Bulldogs,6,1,1,1,True
17075,2,Richmond,Gold Coast,6,1,1,1,True
17076,2,Greater Western Sydney,St Kilda,6,1,1,1,True
17077,2,Fremantle,Melbourne,6,1,1,1,True
17078,2,Port Adelaide,Essendon,6,1,1,1,True
17079,2,West Coast,North Melbourne,6,1,1,1,True
17080,3,Geelong,Adelaide,6,1,1,1,True
17081,3,Collingwood,Greater Western Sydney,6,1,1,1,True
17082,3,St Kilda,Brisbane Lions,6,1,1,1,True
17083,3,Fremantle,Richmond,6,1,1,1,True
17084,3,Essendon,North Melbourne,6,1,1,1,True
17085,3,Port Adelaide,West Coast,6,1,1,1,True
17086,3,Carlton,Melbourne,6,1,1,1,True
17087,4,Brisbane Lions,Collingwood,6,1,1,1,True
17088,4,North Melbourne,Carlton,6,1,1,1,True
17089,4,Adelaide,Fremantle,6,1,1,1,True
17090,4,Richmond,Port Adelaide,6,1,1,1,True
17091,4,West Coast,Sydney,6,1,1,1,True
17092,4,Melbourne,Gold Coast,6,1,1,1,True
17093,4,Western Bulldogs,Essendon,6,1,1,1,True
17094,4,Hawthorn,Geelong,6,1,1,1,True
17095,5,Adelaide,Carlton,6,1,1,1,True
17096,5,Collingwood,Fremantle,6,1,1,1,True
17097,5,North Melbourne,Brisbane Lions,6,1,1,1,True
17098,5,Essendon,Melbourne,6,1,1,1,True
17099,5,Sydney,Gold Coast,6,1,1,1,True
17100,5,Hawthorn,Western Bulldogs,6,1,1,1,True
17101,5,Geelong,West Coast,6,1,1,1,True
17102,5,Greater Western Sydney,Richmond,6,1,1,1,True
17103,5,Port Adelaide,St Kilda,6,1,1,1,True
17104,6,Carlton,Collingwood,6,1,1,1,True
17105,6,Geelong,Western Bulldogs,6,1,1,1,True
17106,6,Sydney,Greater Western Sydney,6,1,1,1,True
17107,6,Gold Coast,Essendon,6,1,1,1,True
17108,6,Hawthorn,Port Adelaide,6,1,1,1,True
17109,6,Adelaide,St Kilda,6,1,1,1,True
17110,6,North Melbourne,Richmond,6,1,1,1,True
17111,6,Melbourne,Brisbane Lions,6,1,1,1,True
17112,6,West Coast,Fremantle,6,1,1,1,True
17113,7,Western Bulldogs,Sydney,6,1,1,1,True
17114,7,Richmond,Melbourne,6,1,1,1,True
17115,7,Hawthorn,Gold Coast,6,1,1,1,True
17116,7,Essendon,Collingwood,6,1,1,1,True
17117,7,Port Adelaide,Geelong,6,1,1,1,True
17118,7,Fremantle,Carlton,6,1,1,1,True
17119,7,St Kilda,West Coast,6,1,1,1,True
17120,7,Brisbane Lions,Adelaide,6,1,1,1,True
17121,7,Greater Western Sydney,North Melbourne,6,1,1,1,True
17122,8,Collingwood,Hawthorn,6,1,1,1,True
17123,8,Western Bulldogs,Fremantle,6,1,1,1,True
17124,8,Adelaide,Port Adelaide,6,1,1,1,True
17125,8,Essendon,Brisbane Lions,6,1,1,1,True
17126,8,West Coast,Richmond,6,1,1,1,True
17127,8,Geelong,North Melbourne,6,1,1,1,True
17128,8,Carlton,St Kilda,6,1,1,1,True
17129,8,Sydney,Melbourne,6,1,1,1,True
17130,8,Gold Coast,Greater Western Sydney,6,1,1,1,True
17131,9,Fremantle,Hawthorn,6,1,1,1,True
17132,9,Brisbane Lions,Carlton,6,1,1,1,True
17133,9,Port Adelaide,Western Bulldogs,6,1,1,1,True
17134,9,North Melbourne,Sydney,6,1,1,1,True
17135,9,Greater Western Sydney,Essendon,6,1,1,1,True
17136,9,Gold Coast,St Kilda,6,1,1,1,True
17137,9,Geelong,Collingwood,6,1,1,1,True
17138,9,Melbourne,West Coast,6,1,1,1,True
17139,9,Richmond,Adelaide,6,1,1,1,True
17140,10,Brisbane Lions,Geelong,6,1,1,1,True
17141,10,Sydney,Collingwood,6,1,1,1,True
17142,10,Gold Coast,Port Adelaide,6,1,1,1,True
17143,10,Adelaide,North Melbourne,6,1,1,1,True
17144,10,Melbourne,Hawthorn,6,1,1,1,True
17145,10,Carlton,Western Bulldogs,6,1,1,1,True
17146,10,Essendon,Fremantle,6,1,1,1,True
17147,10,St Kilda,Richmond,6,1,1,1,True
17148,10,West Coast,Greater Western Sydney,6,1,1,1,True
17149,11,Hawthorn,Adelaide,6,1,1,1,True
17150,11,Richmond,Essendon,6,1,1,1,True
17151,11,Fremantle,St Kilda,6,1,1,1,True
17152,11,North Melbourne,Gold Coast,6,1,1,1,True
17153,11,Geelong,Sydney,6,1,1,1,True
17154,11,Collingwood,West Coast,6,1,1,1,True
17155,11,Port Adelaide,Carlton,6,1,1,1,True
17156,11,Greater Western Sydney,Brisbane Lions,6,1,1,1,True
17157,11,Western Bulldogs,Melbourne,6,1,1,1,True
17158,12,St Kilda,Hawthorn,6,1,1,1,True
17159,12,Carlton,Geelong,6,1,1,1,True
17160,12,Sydney,Richmond,6,1,1,1,True
17161,12,Brisbane Lions,Fremantle,6,1,1,1,True
17162,12,Western Bulldogs,Collingwood,6,1,1,1,True
17163,12,Melbourne,Greater Western Sydney,6,1,1,1,True
17164,12,West Coast,Essendon,6,1,1,1,True
