match_id,match_round,top1_3vote_accuracy,top3_recall,exact_top3_set,exact_ordered_321,rank_actual_3,rank_actual_2,rank_actual_1,mrr_actual_3
17059,0,1,0.6666666666666666,0,0,1.0,2.0,6.0,1.0
17060,0,1,0.6666666666666666,0,0,1.0,5.0,2.0,1.0
17061,0,1,1.0,1,1,1.0,2.0,3.0,1.0
17062,0,1,1.0,1,1,1.0,2.0,3.0,1.0
17063,0,1,0.3333333333333333,0,0,1.0,14.0,13.0,1.0
17064,1,0,0.6666666666666666,0,0,3.0,2.0,5.0,0.3333333333333333
17065,1,0,0.6666666666666666,0,0,8.0,1.0,2.0,0.125
17066,1,1,0.6666666666666666,0,0,1.0,2.0,5.0,1.0
17067,1,0,0.3333333333333333,0,0,4.0,1.0,6.0,0.25
17068,1,0,0.6666666666666666,0,0,4.0,3.0,1.0,0.25
17069,1,0,0.6666666666666666,0,0,2.0,3.0,4.0,0.5
17070,1,0,0.3333333333333333,0,0,5.0,4.0,1.0,0.2
17071,1,0,1.0,1,0,2.0,1.0,3.0,0.5
17072,1,1,0.6666666666666666,0,0,1.0,2.0,4.0,1.0
17073,2,1,0.6666666666666666,0,0,1.0,3.0,5.0,1.0
17074,2,0,0.6666666666666666,0,0,2.0,1.0,5.0,0.5
17075,2,1,1.0,1,1,1.0,2.0,3.0,1.0
17076,2,1,0.6666666666666666,0,0,1.0,4.0,2.0,1.0
17077,2,0,1.0,1,0,2.0,1.0,3.0,0.5
17078,2,1,1.0,1,1,1.0,2.0,3.0,1.0
17079,2,0,1.0,1,0,3.0,1.0,2.0,0.3333333333333333
17080,3,1,1.0,1,1,1.0,2.0,3.0,1.0
17081,3,1,0.6666666666666666,0,0,1.0,6.0,2.0,1.0
17082,3,0,0.6666666666666666,0,0,2.0,1.0,18.0,0.5
17083,3,1,1.0,1,1,1.0,2.0,3.0,1.0
17084,3,0,1.0,1,0,3.0,2.0,1.0,0.3333333333333333
17085,3,0,1.0,1,0,2.0,1.0,3.0,0.5
17086,3,1,0.6666666666666666,0,0,1.0,2.0,9.0,1.0
17087,4,1,0.6666666666666666,0,0,1.0,4.0,3.0,1.0
17088,4,0,0.3333333333333333,0,0,2.0,5.0,9.0,0.5
17089,4,1,0.6666666666666666,0,0,1.0,4.0,2.0,1.0
17090,4,0,0.6666666666666666,0,0,2.0,1.0,4.0,0.5
17091,4,0,0.6666666666666666,0,0,2.0,1.0,4.0,0.5
17092,4,1,0.6666666666666666,0,0,1.0,3.0,5.0,1.0
17093,4,1,0.6666666666666666,0,0,1.0,2.0,5.0,1.0
17094,4,1,1.0,1,0,1.0,3.0,2.0,1.0
17095,5,1,0.6666666666666666,0,0,1.0,3.0,6.0,1.0
17096,5,1,0.6666666666666666,0,0,1.0,7.0,2.0,1.0
17097,5,1,0.6666666666666666,0,0,1.0,8.0,2.0,1.0
17098,5,0,1.0,1,0,2.0,3.0,1.0,0.5
17099,5,1,0.3333333333333333,0,0,1.0,6.0,5.0,1.0
17100,5,1,1.0,1,0,1.0,3.0,2.0,1.0
17101,5,1,0.6666666666666666,0,0,1.0,3.0,4.0,1.0
17102,5,1,1.0,1,1,1.0,2.0,3.0,1.0
17103,5,1,1.0,1,0,1.0,3.0,2.0,1.0
17104,6,1,1.0,1,1,1.0,2.0,3.0,1.0
17105,6,1,1.0,1,1,1.0,2.0,3.0,1.0
17106,6,1,1.0,1,1,1.0,2.0,3.0,1.0
17107,6,1,1.0,1,1,1.0,2.0,3.0,1.0
17108,6,0,1.0,1,0,3.0,2.0,1.0,0.3333333333333333
17109,6,0,0.3333333333333333,0,0,12.0,1.0,5.0,0.08333333333333333
17110,6,1,1.0,1,0,1.0,3.0,2.0,1.0
17111,6,1,1.0,1,1,1.0,2.0,3.0,1.0
17112,6,0,1.0,1,0,2.0,1.0,3.0,0.5
17113,7,1,1.0,1,0,1.0,3.0,2.0,1.0
17114,7,1,0.6666666666666666,0,0,1.0,4.0,2.0,1.0
17115,7,0,0.3333333333333333,0,0,6.0,2.0,9.0,0.16666666666666666
17116,7,1,0.6666666666666666,0,0,1.0,2.0,6.0,1.0
17117,7,1,1.0,1,1,1.0,2.0,3.0,1.0
17118,7,1,1.0,1,1,1.0,2.0,3.0,1.0
17119,7,0,0.6666666666666666,0,0,3.0,2.0,5.0,0.3333333333333333
17120,7,0,1.0,1,0,2.0,3.0,1.0,0.5
17121,7,1,1.0,1,1,1.0,2.0,3.0,1.0
17122,8,1,0.6666666666666666,0,0,1.0,4.0,2.0,1.0
17123,8,0,0.6666666666666666,0,0,2.0,1.0,4.0,0.5
17124,8,1,0.6666666666666666,0,0,1.0,3.0,5.0,1.0
17125,8,1,0.6666666666666666,0,0,1.0,2.0,5.0,1.0
17126,8,0,1.0,1,0,2.0,3.0,1.0,0.5
17127,8,1,1.0,1,0,1.0,3.0,2.0,1.0
17128,8,1,0.6666666666666666,0,0,1.0,2.0,7.0,1.0
17129,8,1,1.0,1,0,1.0,3.0,2.0,1.0
17130,8,1,1.0,1,1,1.0,2.0,3.0,1.0
17131,9,0,1.0,1,0,2.0,1.0,3.0,0.5
17132,9,1,0.6666666666666666,0,0,1.0,4.0,2.0,1.0
17133,9,1,0.6666666666666666,0,0,1.0,3.0,5.0,1.0
17134,9,0,0.6666666666666666,0,0,2.0,1.0,5.0,0.5
17135,9,0,0.3333333333333333,0,0,5.0,2.0,7.0,0.2
17136,9,0,0.6666666666666666,0,0,4.0,3.0,2.0,0.25
17137,9,1,0.3333333333333333,0,0,1.0,9.0,6.0,1.0
17138,9,0,1.0,1,0,2.0,1.0,3.0,0.5
17139,9,1,0.6666666666666666,0,0,1.0,2.0,4.0,1.0
17140,10,1,1.0,1,1,1.0,2.0,3.0,1.0
17141,10,1,1.0,1,0,1.0,3.0,2.0,1.0
17142,10,1,0.3333333333333333,0,0,1.0,5.0,4.0,1.0
17143,10,1,0.3333333333333333,0,0,1.0,5.0,7.0,1.0
17144,10,0,0.6666666666666666,0,0,2.0,4.0,1.0,0.5
17145,10,1,0.6666666666666666,0,0,1.0,2.0,6.0,1.0
17146,10,0,1.0,1,0,2.0,3.0,1.0,0.5
17147,10,1,0.6666666666666666,0,0,1.0,2.0,4.0,1.0
17148,10,1,1.0,1,1,1.0,2.0,3.0,1.0
17149,11,1,0.6666666666666666,0,0,1.0,2.0,11.0,1.0
17150,11,1,1.0,1,1,1.0,2.0,3.0,1.0
17151,11,1,0.6666666666666666,0,0,1.0,2.0,4.0,1.0
17152,11,0,0.6666666666666666,0,0,5.0,2.0,3.0,0.2
17153,11,1,0.6666666666666666,0,0,1.0,2.0,4.0,1.0
17154,11,1,0.6666666666666666,0,0,1.0,6.0,2.0,1.0
17155,11,1,1.0,1,1,1.0,2.0,3.0,1.0
17156,11,0,1.0,1,0,3.0,1.0,2.0,0.3333333333333333
17157,11,0,0.6666666666666666,0,0,2.0,1.0,5.0,0.5
17158,12,1,0.6666666666666666,0,0,1.0,4.0,2.0,1.0
17159,12,1,1.0,1,0,1.0,3.0,2.0,1.0
17160,12,0,1.0,1,0,2.0,1.0,3.0,0.5
17161,12,0,0.6666666666666666,0,0,3.0,1.0,4.0,0.3333333333333333
17162,12,1,0.6666666666666666,0,0,1.0,2.0,4.0,1.0
17163,12,1,0.6666666666666666,0,0,1.0,3.0,5.0,1.0
17164,12,1,0.6666666666666666,0,0,1.0,2.0,4.0,1.0
17165,13,1,0.6666666666666666,0,0,1.0,4.0,2.0,1.0
17166,13,1,0.6666666666666666,0,0,1.0,2.0,4.0,1.0
17167,13,0,1.0,1,0,2.0,3.0,1.0,0.5
17168,13,1,0.6666666666666666,0,0,1.0,2.0,5.0,1.0
17169,13,0,0.6666666666666666,0,0,2.0,5.0,1.0,0.5
17170,13,1,0.6666666666666666,0,0,1.0,4.0,3.0,1.0
17171,13,0,1.0,1,0,3.0,1.0,2.0,0.3333333333333333
