player_id,Player,Team,Expected Votes,Actual Votes,games,Vote Error (pred-actual),absolute_error,Predicted Rank,Actual Rank,Rank Error (pred-actual)
12943,Nick Daicos,Collingwood,40.02669195867445,47,22,-6.973308041325552,6.973308041325552,1,1,0
12269,Marcus Bontempelli,Western Bulldogs,29.44824025177742,34,22,-4.55175974822258,4.55175974822258,2,3,-1
12692,Bailey Smith,Geelong,27.467386904954743,36,22,-8.532613095045257,8.532613095045257,3,2,1
12261,Patrick Cripps,Carlton,26.470959904356302,27,23,-0.5290400956436976,0.5290400956436976,4,5,-1
12055,Lachie Neale,Brisbane Lions,25.225970260024255,20,23,5.225970260024255,5.225970260024255,5,16,-11
13040,Will Ashcroft,Brisbane Lions,24.999915656150208,27,23,-2.0000843438497924,2.0000843438497924,6,5,1
12326,Isaac Heeney,Sydney,21.39898437981632,26,20,-4.601015620183681,4.601015620183681,7,8,-1
12516,Jordan Dawson,Adelaide,20.531576403021834,21,20,-0.46842359697816605,0.46842359697816605,8,13,-5
13034,Harry Sheezel,North Melbourne,20.29750477709791,27,22,-6.70249522290209,6.70249522290209,9,5,4
11966,Max Gawn,Melbourne,19.76106390119224,28,23,-8.23893609880776,8.23893609880776,10,4,6
12915,Jai Newcombe,Hawthorn,19.300328257974115,21,23,-1.6996717420258847,1.6996717420258847,11,13,-2
12698,Zak Butters,Port Adelaide,19.291213296423066,26,17,-6.7087867035769335,6.7087867035769335,12,8,4
12956,Jason Horne-Francis,Port Adelaide,18.400621200194117,22,21,-3.5993787998058835,3.5993787998058835,13,12,1
12950,Nasiah Wanganeen-Milera,St Kilda,17.443721722501003,21,17,-3.556278277498997,3.556278277498997,14,13,1
12798,Izak Rankine,Adelaide,17.341264626192626,25,20,-7.6587353738073745,7.6587353738073745,15,10,5
12771,Kysaiah Pickett,Melbourne,16.6329549887198,20,23,-3.367045011280201,3.367045011280201,16,16,0
12410,Clayton Oliver,Greater Western Sydney,15.21586597857443,23,23,-7.7841340214255705,7.7841340214255705,17,11,6
12684,Sam Walsh,Carlton,15.071128685347064,14,23,1.0711286853470643,1.0711286853470643,18,28,-10
12797,Chad Warner,Sydney,14.998767991134853,12,22,2.9987679911348533,2.9987679911348533,19,32,-13
12786,Caleb Serong,Fremantle,14.906068448288188,14,20,0.9060684482881882,0.9060684482881882,20,28,-8
