predicted_rank,player_id,player_name,team,position,games,predicted_expected_votes,total_coaches_votes,avg_expected_votes_per_game,number_of_matches_predicted_above_0_5,number_of_matches_predicted_above_1_0,number_of_matches_predicted_above_2_0,best_predicted_match_votes,best_predicted_match_id
1,12943,Nick Daicos,Collingwood,R,22,40.02669195867444,147.0,1.8193950890306565,19,17,12,2.905471498392759,17063
2,12269,Marcus Bontempelli,Western Bulldogs,C,22,29.44824025177742,109.0,1.3385563750807918,15,12,9,2.707662261088984,17186
3,12692,Bailey Smith,Geelong,C,22,27.467386904954743,85.0,1.248517586588852,17,10,6,2.6502767529348867,17137
4,12261,Patrick Cripps,Carlton,C,23,26.470959904356302,81.0,1.1509113001894045,15,11,4,2.9865950831461046,17155
5,12055,Lachie Neale,Brisbane Lions,R,23,25.225970260024262,73.0,1.0967813156532287,17,11,5,2.5820702360873202,17120
6,13040,Will Ashcroft,Brisbane Lions,C,23,24.999915656150208,91.0,1.0869528546152265,11,11,7,2.755808510110958,17087
7,12326,Isaac Heeney,Sydney,RR,20,21.39898437981632,84.0,1.069949218990816,12,10,6,2.6089527458728656,17099
8,12516,Jordan Dawson,Adelaide,C,20,20.531576403021838,80.0,1.026578820151092,10,10,4,2.6038441441113047,17173
9,13034,Harry Sheezel,North Melbourne,R,22,20.29750477709791,55.0,0.9226138535044505,11,8,3,2.9604651377959623,17110
10,11966,Max Gawn,Melbourne,RK,23,19.761063901192237,99.0,0.8591766913561842,14,9,2,2.329343091914655,17092
11,12915,Jai Newcombe,Hawthorn,RR,23,19.300328257974115,74.0,0.8391447068684398,8,7,6,2.4503674260919315,17100
12,12698,Zak Butters,Port Adelaide,RR,17,19.29121329642306,68.0,1.1347772527307682,12,9,4,2.5827185504454135,17191
13,12956,Jason Horne-Francis,Port Adelaide,C,21,18.400621200194113,75.0,0.8762200571521006,9,8,2,2.7262973701632363,17117
14,12950,Nasiah Wanganeen-Milera,St Kilda,HBFR,17,17.443721722501003,68.0,1.0261012777941767,9,8,3,2.729072946170587,17201
15,12798,Izak Rankine,Adelaide,HFFL,20,17.34126462619263,67.0,0.8670632313096315,9,9,3,2.6368922536457973,17262
16,12771,Kysaiah Pickett,Melbourne,HFFL,23,16.632954988719796,73.0,0.7231719560312955,7,7,5,2.762296310794892,17114
17,12410,Clayton Oliver,Greater Western Sydney,C,23,15.21586597857443,52.0,0.6615593903728013,13,7,1,2.1900736003526404,17156
18,12684,Sam Walsh,Carlton,R,23,15.071128685347066,61.0,0.6552664645803072,8,5,2,2.3840893328586055,17064
19,12797,Chad Warner,Sydney,R,22,14.998767991134851,56.0,0.6817621814152205,11,7,0,1.9201891626244736,17187
20,12786,Caleb Serong,Fremantle,R,20,14.906068448288188,54.0,0.7453034224144094,10,7,3,2.391543596676301,17248
21,12862,Errol Gulden,Sydney,C,11,14.388090187191452,54.0,1.3080081988355865,6,6,5,2.6355336198827586,17264
22,13111,Harley Reid,West Coast,RR,23,13.723541007395806,60.0,0.5966756959737307,7,5,2,2.7898730132982967,17148
23,12589,Andrew Brayshaw,Fremantle,C,23,13.711820634954366,49.0,0.5961661145632333,7,5,2,2.3494565554955185,17193
24,12779,Luke Jackson,Fremantle,RK,23,13.582210407495909,77.0,0.5905308872824309,8,5,1,2.7569894601842586,17180
25,12881,Max Holmes,Geelong,RR,18,13.433136215299822,65.0,0.7462853452944346,8,5,3,2.1765315297489227,17127
26,12217,Brodie Grundy,Sydney,RK,21,13.174265740865053,79.0,0.6273459876602406,9,5,2,2.310104495393827,17141
27,12605,Ed Richards,Western Bulldogs,R,22,13.118502217096617,63.0,0.5962955553225735,7,5,2,2.451765588023269,17227
28,12590,Luke Davies-Uniacke,North Melbourne,RR,23,12.50603771764715,56.0,0.5437407703324848,8,4,1,2.628433402092596,17239
29,12535,Shai Bolton,Fremantle,R,22,11.701345883199526,59.0,0.5318793583272512,7,4,1,2.2330455832238822,17118
30,12430,Christian Petracca,Gold Coast,C,20,11.565267746151903,38.0,0.5782633873075952,5,4,4,2.6159015910604038,17072
31,11845,Jack Gunston,Hawthorn,FPR,17,11.248950420807539,42.0,0.6617029659298552,7,5,2,2.3934171941093636,17225
32,12767,Noah Anderson,Gold Coast,RR,22,10.93639419945179,40.0,0.49710882724780864,6,4,0,1.7102538210848421,17142
33,12768,Matt Rowell,Gold Coast,R,18,10.88726144588269,49.0,0.6048478581045938,7,5,1,2.5617621337031906,17245
34,12969,Finn Callaghan,Greater Western Sydney,R,19,10.260373530009096,42.0,0.540019659474163,7,3,2,2.245296963431405,17102
35,12421,Charlie Curnow,Sydney,FF,22,9.657783275984295,40.0,0.43899014890837706,5,4,3,2.6184347791089078,17113
36,13048,Jacob van Rooyen,Melbourne,FF,22,9.328956764291037,38.0,0.42404348928595625,4,4,3,2.471165265105894,17210
37,12025,Toby Greene,Greater Western Sydney,RR,21,9.269519824219493,43.0,0.441405705915214,7,3,1,2.1099363518016765,17121
38,12983,Jye Amiss,Fremantle,FF,22,9.041202156852005,51.0,0.4109637344023639,6,4,2,2.3964714993890937,17112
39,12693,Tom Sparrow,Melbourne,C,23,8.877954540989101,47.0,0.3859980235212653,6,3,1,2.2060454381903867,17215
40,13274,Jagga Smith,Carlton,RR,23,8.588563644375716,59.0,0.37341581062503115,7,4,0,1.846964491452527,17235
41,12610,Zac Bailey,Brisbane Lions,WR,22,8.45012291034589,59.0,0.38409649592481315,7,2,0,1.2001838380000744,17120
42,12504,Tim Taranto,Richmond,C,21,8.399338942540707,41.0,0.399968521073367,5,3,1,2.1941389517101797,17236
43,13104,Shaun Mannagh,Geelong,CHF,23,8.053488658331158,56.0,0.35015168079700687,5,3,1,2.2866586881880857,17140
44,13193,Max Hall,St Kilda,C,23,7.6105110368306255,49.0,0.3308917842100272,5,3,0,1.9666856581849779,17249
45,13180,Murphy Reid,Fremantle,HFFL,21,7.369757394859516,51.0,0.3509408283266436,4,3,0,1.7082788457339904,17151
46,13137,Logan Morris,Brisbane Lions,CHF,22,7.304311337215911,30.0,0.33201415169163234,4,2,2,2.8446741695949207,17168
47,12241,Zach Merrett,Essendon,RR,23,7.1929846817990075,25.0,0.3127384644260438,4,1,1,2.0823546175242065,17220
48,12331,Touk Miller,Gold Coast,HFFL,23,7.166773846159396,33.0,0.31159886287649546,5,2,0,1.7842654167712653,17245
49,12411,George Hewett,Carlton,INT,19,7.066146691301092,39.0,0.3719024574368996,4,3,1,2.207340532642083,17200
50,12318,Jordan de Goey,Collingwood,R,21,6.889694794362672,41.0,0.32808070449346055,3,2,1,2.1554020285738082,17184
51,13125,Hugo Garcia,St Kilda,RR,23,6.692791431865799,32.0,0.2909909318202521,6,2,0,1.517568579239497,17119
52,12564,Rowan Marshall,St Kilda,INT,21,6.616769123115473,29.0,0.31508424395787965,3,3,1,2.519628526965338,17128
53,12237,Jarman Impey,Hawthorn,BPR,21,6.613519347667401,58.0,0.3149294927460667,3,2,1,2.1008112173721463,17225
54,13105,Nick Watson,Hawthorn,FPR,21,6.548791064484289,41.0,0.3118471935468709,5,4,0,1.6361229581964984,17233
55,12887,Josh Treacy,Fremantle,FPR,23,6.400909580549315,39.0,0.2783004165456224,6,2,0,1.720394401596748,17083
56,12743,John Noble,Gold Coast,HBFL,23,6.340542344822203,31.0,0.27567575412270445,5,2,0,1.8740357615082464,17130
57,12368,Jack Steele,Melbourne,RR,23,6.219852514651188,22.0,0.27042837020222554,5,1,0,1.761466025546351,17092
58,12373,Caleb Daniel,North Melbourne,CHB,23,6.1934413222903135,29.0,0.2692800574908832,3,2,1,2.5048514175239043,17185
59,12167,Jake Stringer,Greater Western Sydney,FPL,23,6.058382197330408,33.0,0.2634079216230612,3,2,2,2.3719697030403437,17198
60,12143,Lachie Whitfield,Greater Western Sydney,CHB,21,5.952343051096132,24.0,0.2834449071950539,3,2,1,2.272055553348919,17234
61,12782,Lachie Ash,Greater Western Sydney,HBFR,23,5.838879229690356,41.0,0.2538643143343633,4,1,1,2.059451217046539,17254
62,12017,Jeremy Cameron,Geelong,HFFL,17,5.819441353068601,15.0,0.3423200795922707,4,1,1,2.8501363538611426,17105
63,12849,Sam Berry,Adelaide,RR,22,5.76276864695995,37.0,0.26194402940727046,4,2,0,1.4858198376786798,17124
64,12954,Connor Macdonald,Hawthorn,INT,23,5.719676639792693,39.0,0.24868159303446494,5,2,0,1.3803537298709185,17122
65,12974,Oliver Dempsey,Geelong,WL,23,5.458801996169971,29.0,0.23733921722478132,3,2,1,2.1818789528316995,17230
66,12060,Bradley Hill,St Kilda,CHB,23,5.411206623257016,29.0,0.23526985318508764,3,3,0,1.4447322027817942,17249
67,12573,Josh Daicos,Collingwood,CHB,23,5.289090237235795,31.0,0.2299604450972085,3,2,0,1.3395533922999354,17204
68,12699,Nick Blakey,Sydney,CHB,22,5.148737749494122,33.0,0.23403353406791466,3,2,0,1.864791370978344,17106
69,12405,Wayne Milera,Adelaide,HBFR,18,5.084621937102234,54.0,0.2824789965056797,4,1,0,1.6369845329287467,17069
70,12968,Kai Lohmann,Brisbane Lions,INT,23,4.903431836863046,26.0,0.21319268855926285,3,2,1,2.296608282210684,17240
71,11713,Taylor Walker,Adelaide,FF,16,4.838181664878104,17.0,0.3023863540548815,3,3,1,2.3622854396266946,17109
72,12953,Josh Rachele,Adelaide,HFFR,23,4.773566068978444,26.0,0.20754635082514974,2,1,1,2.3872203249979385,17095
73,12455,Matthew Kennedy,Western Bulldogs,RR,23,4.656559072832959,15.0,0.20245909012317212,1,1,0,1.9224488555662353,17093
74,12406,Darcy Parish,Essendon,INT,14,4.593183708815129,21.0,0.3280845506296521,3,2,1,2.276540834442154,17150
75,11700,Patrick Dangerfield,Geelong,FPL,17,4.527624667917998,16.0,0.26633086281870577,3,3,0,1.346737011540173,17165
76,12595,Tim Kelly,West Coast,R,21,4.52030058432348,18.0,0.21525240877730858,3,1,0,1.2217774120653795,17176
77,12711,Justin McInerney,Sydney,R,13,4.4833199540733135,28.0,0.34487076569794717,3,2,0,1.9771493831956937,17059
78,12766,Mitch Georgiades,Port Adelaide,CHF,21,4.379531618434354,20.0,0.20854912468735018,3,2,0,1.607217156478758,17117
79,13129,Patrick Voss,Fremantle,FPL,22,4.376179710196564,21.0,0.1989172595543893,3,2,0,1.9502174182958085,17146
80,4182,Scott Pendlebury,Collingwood,C,17,4.373252167101799,15.0,0.2572501274765764,1,1,1,2.811893439465177,17116
81,12660,Darcy Cameron,Collingwood,RK,22,4.23575212568761,31.0,0.192534187531255,3,1,0,1.1385649154530222,17154
82,13168,Archie Roberts,Essendon,HBFL,21,4.193825191271768,15.0,0.1997059614891318,2,2,1,2.3830242932501955,17098
83,12955,Josh Ward,Hawthorn,R,23,4.080822691761124,19.0,0.1774270735548315,2,0,0,0.586450966310828,17225
84,12594,Aaron Naughton,Western Bulldogs,FF,22,4.046189709392171,16.0,0.1839177140632805,2,2,0,1.986079787009817,17066
85,12325,Jack Sinclair,St Kilda,R,15,4.014309614069943,24.0,0.2676206409379962,4,0,0,0.8748360890320519,17063
86,12794,Will Day,Hawthorn,C,11,3.992916241133141,19.0,0.3629923855575583,2,1,0,1.8315328918172458,17265
87,12703,Callum Wilkie,St Kilda,FB,23,3.8561047091844936,44.0,0.16765672648628233,2,2,0,1.2895397818454835,17076
88,12892,Riley Thilthorpe,Adelaide,CHF,20,3.82947393782446,16.0,0.191473696891223,2,1,1,2.2268431952395638,17238
89,12992,Shannon Neale,Geelong,FF,23,3.80677657464493,18.0,0.16551202498456216,2,2,0,1.537804766022627,17222
90,12584,Darcy Fogarty,Adelaide,FF,14,3.6828648188137,16.0,0.2630617727724071,3,2,0,1.5049091321228385,17213
91,12927,Jack Ginnivan,Hawthorn,HFFR,22,3.681879630177081,20.0,0.16735816500804915,2,2,0,1.4919072729225575,17207
