coaches_votes,P_brownlow_0,P_brownlow_1,P_brownlow_2,P_brownlow_3,E_brownlow,n
0,0.9890776552074882,0.006308804475497379,0.0033299831684487123,0.0012835571485656854,0.01681944225809186,82583
1,0.8862422997946612,0.05995893223819302,0.037782340862423,0.016016427104722793,0.18357289527720738,2435
2,0.8316120341266278,0.09070498428378986,0.05478221823080377,0.022900763358778626,0.26897171082173327,2227
3,0.7803687635574837,0.10303687635574837,0.08405639913232105,0.03253796095444685,0.368763557483731,1844
4,0.6936339522546419,0.1359416445623342,0.11538461538461539,0.055039787798408485,0.5318302387267905,1508
5,0.5779591836734694,0.1673469387755102,0.16408163265306122,0.09061224489795919,0.7673469387755102,1225
6,0.4803229061553986,0.17658930373360243,0.2119071644803229,0.1311806256306761,0.9939455095862765,991
7,0.40022547914317924,0.17925591882750846,0.2547914317925592,0.1657271702367531,1.186020293122886,887
8,0.29048582995951416,0.15587044534412955,0.3107287449392713,0.242914979757085,1.5060728744939271,988
9,0.20693928128872366,0.1325898389095415,0.2342007434944238,0.42627013630731103,1.8798017348203222,807
10,0.10717100078802207,0.07013396375098503,0.15918045705279749,0.6635145784081954,2.3790386130811663,1269
