margin_bucket,coaches_votes,P_brownlow_0,P_brownlow_1,P_brownlow_2,P_brownlow_3,E_brownlow,n
blowout,0,0.9912369396697001,0.005594876980114594,0.002460397708122683,0.0007077856420626896,0.012639029322548028,29670
blowout,1,0.9048165137614679,0.05619266055045872,0.02522935779816514,0.013761467889908258,0.14793577981651376,872
blowout,2,0.8191214470284238,0.10852713178294573,0.05555555555555555,0.016795865633074936,0.27002583979328165,774
blowout,3,0.8027950310559007,0.10093167701863354,0.07453416149068323,0.021739130434782608,0.31521739130434784,644
blowout,4,0.677734375,0.15625,0.103515625,0.0625,0.55078125,512
blowout,5,0.5467289719626168,0.18457943925233644,0.18457943925233644,0.08411214953271028,0.8060747663551402,428
blowout,6,0.4943502824858757,0.16666666666666666,0.22598870056497175,0.11299435028248588,0.9576271186440678,354
blowout,7,0.3448275862068966,0.1867816091954023,0.28735632183908044,0.1810344827586207,1.3045977011494252,348
blowout,8,0.24661246612466126,0.14634146341463414,0.34959349593495936,0.25745257452574527,1.6178861788617886,369
blowout,9,0.15808823529411764,0.14338235294117646,0.23161764705882354,0.46691176470588236,2.0073529411764706,272
blowout,10,0.07036247334754797,0.07036247334754797,0.17697228144989338,0.6823027718550106,2.4712153518123667,469
close,0,0.9865519349226501,0.006912117364931584,0.004372972210466921,0.00216297550195138,0.022146988291719565,21267
close,1,0.8752,0.0528,0.0464,0.0256,0.2224,625
close,2,0.8405545927209706,0.09185441941074524,0.05199306759098787,0.01559792027729636,0.24263431542461006,577
close,3,0.7844311377245509,0.08383233532934131,0.08982035928143713,0.041916167664670656,0.38922155688622756,501
close,4,0.683291770573566,0.13466334164588528,0.11970074812967581,0.06234413965087282,0.5610972568578554,401
close,5,0.6340694006309149,0.138801261829653,0.12618296529968454,0.10094637223974763,0.694006309148265,317
close,6,0.4942528735632184,0.19923371647509577,0.19157088122605365,0.11494252873563218,0.9272030651340997,261
close,7,0.45539906103286387,0.1784037558685446,0.2112676056338028,0.15492957746478872,1.0657276995305165,213
close,8,0.30268199233716475,0.15708812260536398,0.29118773946360155,0.24904214559386972,1.4865900383141764,261
close,9,0.22815533980582525,0.1407766990291262,0.23300970873786409,0.39805825242718446,1.8009708737864079,206
close,10,0.15555555555555556,0.06666666666666667,0.15873015873015872,0.6190476190476191,2.2412698412698413,315
medium,0,0.9887505529924793,0.006572710611135689,0.0034443531567970678,0.0012323832395879416,0.017158566643493647,31646
medium,1,0.8763326226012793,0.06823027718550106,0.04371002132196162,0.011727078891257996,0.1908315565031983,938
medium,2,0.83675799086758,0.07420091324200913,0.05593607305936073,0.033105022831050226,0.2853881278538813,876
medium,3,0.7567954220314735,0.11874105865522175,0.08869814020028613,0.0357653791130186,0.4034334763948498,699
medium,4,0.7142857142857143,0.11932773109243698,0.1226890756302521,0.043697478991596636,0.4957983193277311,595
medium,5,0.56875,0.17083333333333334,0.17083333333333334,0.08958333333333333,0.78125,480
medium,6,0.4574468085106383,0.1702127659574468,0.2127659574468085,0.1595744680851064,1.074468085106383,376
medium,7,0.4233128834355828,0.17177914110429449,0.24846625766871167,0.15644171779141106,1.138036809815951,326
medium,8,0.3268156424581006,0.164804469273743,0.2849162011173184,0.22346368715083798,1.405027932960894,358
medium,9,0.23404255319148937,0.11854103343465046,0.23708206686930092,0.41033434650455924,1.8237082066869301,329
medium,10,0.11134020618556702,0.07216494845360824,0.1422680412371134,0.6742268041237114,2.379381443298969,485
