feature,recent_mean,2026_mean,standardized_mean_diff,psi,missingness_shift,recent_p10,recent_p50,recent_p90,2026_p10,2026_p50,2026_p90,suspicious
season,2023.9983870967742,2026.0,2.452416023065534,0.11475010702946578,0.0,2023.0,2024.0,2025.0,2026.0,2026.0,2026.0,True
contest_off_wins,0.13201262272089762,0.4477000630119723,0.7320214708252273,0.14932003700409904,0.0,0.0,0.0,1.0,0.0,0.0,2.0,True
match_home_team_goals,12.756451612903225,9.951690821256038,-0.6443694107698484,0.5468606585502256,0.0,7.900000000000091,12.0,18.0,5.0,10.0,14.0,True
home_advantage,0.020967741935483872,0.5,0.6003497621844367,6.829077846499439,0.0,-1.0,0.0,1.0,0.0,0.5,1.0,True
contest_off_one_on_ones,0.5051893408134642,0.1157319890779248,-0.3539842261102806,0.2809018448772869,0.0,0.0,0.0,2.0,0.0,0.0,0.0,True
marks_on_lead,0.3019985974754558,0.49936988027725265,0.2950718040096432,0.06849350743998002,0.0,0.0,0.0,1.0,0.0,0.0,2.0,False
away_final_score,80.52741935483871,85.55072463768116,0.2131628302666449,0.06188731650355092,0.0,52.0,78.0,111.10000000000218,56.0,83.0,117.0,False
home_final_score,87.75967741935484,92.66666666666667,0.18331823021686042,0.06709541701753081,0.0,56.0,85.0,123.10000000000218,62.0,90.0,127.0,False
match_away_team_goals,11.709677419354838,12.400966183574878,0.18162157712718244,0.06876616069794504,0.0,7.0,11.0,17.0,7.0,12.0,18.0,False
pressure_acts,12.467776998597476,11.454211300147028,-0.15156235759922762,0.028314108283187898,0.0,5.0,11.0,22.0,4.0,11.0,20.0,False
career_games_prior,87.94428471248247,95.64429741650913,0.13348083760237692,0.08250594299127399,0.0,12.900000000000091,84.0,168.0,10.0,84.0,197.0,False
career_poll_rate_prior,0.057387041297732366,0.047133413695837144,-0.11827441668160883,0.02890229267407024,0.0,0.0,0.02127659574468085,0.1826219377620837,0.0,0.013071895424836602,0.1562319364161849,False
score_involvements,3.9514025245441795,4.255198487712666,0.11698540334699359,0.018079579351369352,0.0,1.0,4.0,7.0,1.0,4.0,8.0,False
def_half_pressure_acts,5.904488078541375,5.4594622978365885,-0.11116903786243175,0.020022033621518092,0.0,1.0,5.0,11.0,1.0,5.0,10.0,False
bounces,0.26823281907433383,0.3506616257088847,0.1102974005690172,0.008607258378117785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
career_vote_rate_prior,0.11382117503383525,0.09387885056547292,-0.1070640692607711,0.024729004220508517,0.0,0.0,0.031496062992125984,0.3779623583637413,0.0,0.018691588785046728,0.31950659523702307,False
handballs,6.364691444600281,6.77021634110481,0.0952685453781178,0.016601112389518412,0.0,2.0,6.0,12.0,2.0,6.0,13.0,False
team_won,0.4475806451612903,0.4927536231884058,0.09084499727315126,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
uncontested_possessions,9.474018232819075,9.909157739970594,0.08336608663356723,0.009603543427484432,0.0,3.0,9.0,17.0,4.0,9.0,17.0,False
effective_disposals,11.315217391304348,11.791010291955471,0.0810151214534401,0.010862378574128913,0.0,4.0,11.0,19.0,5.0,11.0,20.0,False
