feature,historical_missing_pct,2026_missing_pct,historical_mean,2026_mean,historical_std,2026_std,historical_min,historical_max,2026_min,2026_max,standardized_mean_diff,status,is_critical
season,0.0,0.0,2020.1226282501757,2026.0,3.203114624289391,0.0,2015.0,2025.0,2026.0,2026.0,1.8348927338584384,DISTRIBUTION_WARNING,False
match_round,0.0,0.0,11.921706419742879,12.36231884057971,6.821372359035821,7.160324344762118,0.0,24.0,0.0,24.0,0.06459292905381155,READY,False
attendance,0.0,0.0,30988.564858831796,37551.20289855073,18845.181048284965,18397.59480990988,0.0,95179.0,5814.0,92231.0,0.3482395856481397,READY,False
home_final_score,0.0,0.0,85.68798313422347,92.66666666666667,26.318439317308396,25.674131192674995,16.0,205.0,31.0,170.0,0.26516327386683786,READY,False
away_final_score,0.0,0.0,79.69267496176263,85.55072463768116,25.14664097178124,24.32271737288452,14.0,173.0,29.0,163.0,0.2329555538846019,READY,False
match_home_team_goals,0.0,0.0,12.436463974205283,9.951690821256038,4.244095116710654,3.45137084287848,2.0,31.0,3.0,23.0,-0.5854659437687261,DISTRIBUTION_WARNING,False
match_away_team_goals,0.0,0.0,11.564631474515316,12.400966183574878,4.055262963410739,3.9976244273293045,1.0,27.0,3.0,25.0,0.2062343962908266,READY,False
guernsey_number,0.0,0.0,20.22563143317763,21.03612686410418,12.877075414267756,13.258284988010757,1.0,67.0,1.0,51.0,0.06294095552383926,READY,False
match_margin,0.0,0.0,0.00950766814104419,0.0,41.11548354102839,41.34771640522991,-171.0,171.0,-128.0,128.0,-0.00023124300925603033,READY,True
home_advantage,0.0,0.0,0.006179984291678723,0.5,0.7977489720956089,0.5000262570566021,-1.0,1.0,0.0,1.0,0.6190167997472992,DISTRIBUTION_WARNING,False
is_midfielder,0.0,0.0,0.26698978959117026,0.2608695652173913,0.4423892679270201,0.43913196977859636,0.0,1.0,0.0,1.0,-0.013834477500906732,READY,False
