coaches_votes_bucket,n,mean,std,mae,rmse
0,32285,-0.004036995489988066,0.19019499872623372,0.040774715778386525,0.1902348927257586
1,929,0.054183191262343736,0.5578491082013365,0.2646299846078323,0.5601753891322285
2,824,0.027575904056744396,0.624037205058355,0.3565961885276079,0.6242677820784778
3,686,0.048587180565611884,0.7037339122009532,0.45011356420061654,0.7048973024703282
4,523,0.0033046558259853466,0.8367417494465338,0.6029810462154259,0.8359479543681277
5,468,0.030051001618515767,0.8832741030460657,0.6881636482179437,0.882841530051572
6,386,0.0767812721476902,1.0153558404985241,0.8367291013222337,1.016942475357361
7,337,-0.012537975598482057,1.0107081417625972,0.8497692021220854,1.0092853409982592
8,397,-0.001681213398713505,1.0251234834552394,0.8622059117586391,1.023832962234159
9,308,-0.061156411465751424,1.1211200374821164,0.9468449050482096,1.120968049515418
10,485,0.0046268109788741,0.9794061165546092,0.7615021984681034,0.9784068385060771
