player_position,n,mean,std,mae,rmse
BPL,1635,-0.0006088768011370297,0.25490084392219164,0.0617295063857455,0.2548236080986375
BPR,1636,-0.00864768404174686,0.2103217179230105,0.04786014232915334,0.2104351891278306
C,1636,0.05278076415249786,0.6765425458227409,0.36914876450036116,0.678392107594485
CHB,1636,0.009680294952175494,0.3504514162050535,0.10822678216953488,0.3504780053107135
CHF,1636,0.004856368110507386,0.3466029099840352,0.1041044369257168,0.34653099462921516
FB,1636,-0.0036995203934573036,0.23152053965199335,0.05513067550918283,0.2314793356214324
FF,1636,0.0001800798542797617,0.353285506323314,0.12287790469333952,0.3531775633858091
FPL,1636,-0.0011899315584290697,0.3370439521056657,0.09704582905737198,0.33694302897578243
FPR,1636,0.0012184690783067994,0.336180602654651,0.09569279173509397,0.3360800510730491
HBFL,1635,-0.0037520784214417824,0.29195743247736083,0.08711964813803319,0.2918922514203101
HBFR,1636,-0.0033756893035116406,0.3397060009600688,0.10760233396897215,0.3396189399416842
HFFL,1636,-0.015070144199798921,0.29850265863427533,0.09055498686847924,0.2987917033817371
HFFR,1636,-0.006156244812101163,0.32206181409539786,0.1005481060596627,0.32202222063929725
INT,6544,-0.010273338029812847,0.22453063643228094,0.054456936423196066,0.224748402261464
R,1636,0.031609125911973075,0.6047606045639081,0.3110570188535359,0.6054014957321887
RK,1635,-0.03228570474769658,0.4246294065353296,0.16407990163821295,0.42572551978799056
RR,1636,0.02865496549860754,0.6461284757844552,0.3601893458769562,0.6465662608474713
SUB,1639,-0.01094942327690446,0.021421476210281693,0.010995042485306068,0.024051809448509397
WL,1636,-0.0009829238469612077,0.3073171811015667,0.08655283960350928,0.30722481577007144
WR,1636,-0.0011708157902692413,0.31414561293115123,0.10041410439487435,0.31405177044787896
