coaches_votes_bucket,n,mean,std,mae,rmse
0,32285,-0.004460300206574724,0.18994516851736593,0.041031795630156215,0.18999458887024825
1,929,0.05324270631011606,0.5568506768453932,0.26241668010264696,0.5590918358743628
2,824,0.022484084692498418,0.6129468619988162,0.35151268887569614,0.6129873068975777
3,686,0.0467496400014436,0.6977254439948278,0.44385617609701816,0.6987822784910129
4,523,-0.001127128566974267,0.8352005448988687,0.5959948027801768,0.83440245324603
5,468,0.032732469219625415,0.8692488420460361,0.6720569689338294,0.8689363888158879
6,386,0.07551612633337929,0.9986825910604614,0.8079304439986333,1.000242845965556
7,337,-0.01087452954800054,1.0081302854934175,0.8349034593316865,1.0066921683275338
8,397,0.011572601371131244,1.0217864755369028,0.8531418275298147,1.0205643947676486
9,308,-0.05198121412310873,1.111090208901088,0.9356634415467965,1.1105022793331325
10,485,0.031223205616291612,0.9756949898544237,0.7709306153355084,0.9751885740535451
