season,brownlow_votes,mean_coaches,median_coaches,n
2015,0.0,0.3141963727329581,0.0,7995
2015,1.0,4.041025641025641,4.0,195
2015,2.0,5.3538461538461535,6.0,195
2015,3.0,7.723076923076923,9.0,195
2016,0.0,0.299437148217636,0.0,7995
2016,1.0,4.082051282051282,4.0,195
2016,2.0,5.964102564102564,7.0,195
2016,3.0,7.676923076923077,9.0,195
2017,0.0,0.30808080808080807,0.0,8118
2017,1.0,4.02020202020202,4.0,198
2017,2.0,5.459595959595959,5.0,198
2017,3.0,7.888888888888889,9.0,198
2018,0.0,0.30968218773096823,0.0,8118
2018,1.0,3.823232323232323,4.0,198
2018,2.0,5.656565656565657,6.0,198
2018,3.0,7.8232323232323235,9.0,198
2019,0.0,0.3035230352303523,0.0,8118
2019,1.0,3.9797979797979797,4.0,198
2019,2.0,5.7272727272727275,6.0,198
2019,3.0,7.848484848484849,9.0,198
2020,0.0,0.3425793081460226,0.0,6273
2020,1.0,3.189542483660131,3.0,153
2020,2.0,5.294117647058823,6.0,153
2020,3.0,7.470588235294118,9.0,153
2021,0.0,0.29950669485553205,0.0,8514
2021,1.0,3.919191919191919,4.0,198
2021,2.0,5.262626262626263,6.0,198
2021,3.0,7.9393939393939394,9.0,198
2022,0.0,0.2978623443739723,0.0,8514
2022,1.0,4.156565656565657,4.0,198
2022,2.0,5.373737373737374,6.0,198
2022,3.0,7.661616161616162,9.0,198
2023,0.0,0.33322098640602177,0.0,8901
2023,1.0,3.642512077294686,3.0,207
2023,2.0,4.8019323671497585,5.0,207
2023,3.0,7.2270531400966185,9.0,207
2024,0.0,0.32872710931356025,0.0,8901
2024,1.0,3.6473429951690823,3.0,207
2024,2.0,4.966183574879227,5.0,207
2024,3.0,7.251207729468599,9.0,207
2025,0.0,0.32637164145405284,0.0,8858
2025,1.0,3.3592233009708736,3.0,206
2025,2.0,5.053398058252427,5.0,206
2025,3.0,7.553398058252427,9.0,206
