season,brownlow_votes,disposals_mean,disposals_median,contested_possessions_mean,contested_possessions_median,clearances_mean,clearances_median,goals_mean,goals_median,score_involvements_mean,score_involvements_median,metres_gained_mean,metres_gained_median,supercoach_score_mean,supercoach_score_median
2015,0.0,15.792245153220763,15.0,5.834646654158849,5.0,1.567104440275172,1.0,0.5013133208255159,0.0,4.046904315196998,4.0,231.9392120075047,218.0,71.4614133833646,72.0
2015,1.0,24.846153846153847,26.0,10.02051282051282,10.0,3.758974358974359,3.0,1.528205128205128,1.0,7.37948717948718,7.0,376.4153846153846,376.0,114.95897435897436,114.0
2015,2.0,27.26153846153846,28.0,11.04102564102564,11.0,4.543589743589743,4.0,1.405128205128205,1.0,7.584615384615384,8.0,395.97435897435895,388.0,121.7948717948718,122.0
2015,3.0,28.851282051282052,30.0,12.461538461538462,12.0,5.21025641025641,5.0,1.7435897435897436,1.0,8.682051282051281,9.0,444.9794871794872,445.0,133.64102564102564,134.0
2016,0.0,16.301313320825518,16.0,6.093933708567855,6.0,1.471794871794872,1.0,0.5115697310819262,0.0,4.22989368355222,4.0,240.57023139462163,224.0,71.56172607879925,70.0
2016,1.0,25.8,27.0,10.364102564102565,10.0,3.5641025641025643,3.0,1.435897435897436,1.0,7.5487179487179485,7.0,385.20512820512823,368.0,112.67179487179487,112.0
2016,2.0,27.364102564102563,29.0,11.574358974358974,11.0,4.2153846153846155,4.0,1.4974358974358974,1.0,7.969230769230769,8.0,402.2871794871795,400.0,122.34871794871795,122.0
2016,3.0,29.646153846153847,30.0,12.261538461538462,12.0,5.041025641025641,5.0,1.8461538461538463,1.0,8.907692307692308,9.0,432.9846153846154,422.0,131.05128205128204,129.0
2017,0.0,16.661246612466126,16.0,6.124538063562454,6.0,1.4881744271988175,1.0,0.5165065287016507,0.0,4.281966001478197,4.0,240.08228627740823,223.0,71.59238728750924,71.0
2017,1.0,26.13131313131313,27.5,10.02020202020202,10.0,3.585858585858586,3.0,1.1919191919191918,0.5,7.146464646464646,7.0,385.6161616161616,362.5,113.12121212121212,112.5
2017,2.0,27.19191919191919,29.0,10.964646464646465,11.0,4.01010101010101,4.0,1.5252525252525253,1.0,7.91919191919192,8.0,399.010101010101,381.0,119.51515151515152,119.0
2017,3.0,29.54040404040404,30.0,12.47979797979798,12.0,4.767676767676767,4.5,2.080808080808081,1.0,9.151515151515152,9.0,433.23737373737373,430.0,132.21212121212122,130.0
2018,0.0,16.258930771125893,16.0,6.241561961074156,6.0,1.4826311899482632,1.0,0.4788125153978813,0.0,4.012811037201281,4.0,246.08043853165805,228.0,71.58745996550874,71.0
2018,1.0,26.393939393939394,27.0,10.929292929292929,11.0,3.686868686868687,3.0,1.1818181818181819,1.0,6.924242424242424,7.0,381.72222222222223,379.0,115.4949494949495,114.0
2018,2.0,26.88888888888889,27.0,11.363636363636363,11.0,4.505050505050505,4.0,1.5606060606060606,1.0,7.717171717171717,8.0,411.8787878787879,390.5,119.98989898989899,118.0
2018,3.0,29.055555555555557,29.0,12.1010101010101,11.0,4.3686868686868685,4.0,1.7727272727272727,1.0,8.065656565656566,8.0,444.44444444444446,445.0,129.41919191919192,127.0
2019,0.0,16.102365114560236,15.0,6.176028578467603,6.0,1.5174919931017492,1.0,0.4629219019462922,0.0,3.81029810298103,4.0,246.31116038433112,227.0,71.53079576250308,71.0
2019,1.0,26.373737373737374,27.0,10.691919191919192,10.0,3.98989898989899,3.0,1.1717171717171717,1.0,6.681818181818182,7.0,417.09090909090907,399.0,113.83838383838383,113.0
2019,2.0,27.696969696969695,28.0,11.595959595959595,11.0,4.666666666666667,5.0,1.4595959595959596,1.0,7.207070707070707,7.0,423.4191919191919,413.0,123.14141414141415,121.0
2019,3.0,29.545454545454547,31.0,13.252525252525253,13.0,5.303030303030303,5.0,1.6262626262626263,1.0,7.767676767676767,8.0,448.6515151515151,438.5,130.36868686868686,129.0
2020,0.0,12.836601307189543,12.0,5.043838673680854,5.0,1.1938466443487965,0.0,0.3492746692172804,0.0,2.7902120197672566,3.0,199.88793240873585,183.0,71.48780487804878,70.0
2020,1.0,20.49673202614379,21.0,8.352941176470589,7.0,2.803921568627451,2.0,0.8235294117647058,0.0,4.790849673202614,5.0,328.4313725490196,314.0,111.08496732026144,109.0
2020,2.0,22.352941176470587,23.0,9.42483660130719,9.0,3.4901960784313726,3.0,1.0457516339869282,1.0,5.42483660130719,5.0,341.2156862745098,326.0,124.68627450980392,124.0
2020,3.0,23.705882352941178,24.0,11.215686274509803,11.0,4.496732026143791,4.0,1.3006535947712419,1.0,6.2745098039215685,6.0,354.4052287581699,347.0,133.18954248366012,131.0
2021,0.0,15.103828987549917,15.0,5.521611463471928,5.0,1.3321587972750764,1.0,0.4439746300211416,0.0,3.6086445853887716,3.0,235.57728447263332,218.0,68.22163495419309,68.0
2021,1.0,24.843434343434343,26.0,10.292929292929292,10.0,3.9494949494949494,3.5,1.2626262626262625,1.0,6.570707070707071,7.0,387.72222222222223,373.5,112.71212121212122,113.0
2021,2.0,26.934343434343436,28.0,10.742424242424242,10.0,3.984848484848485,4.0,1.2272727272727273,1.0,6.909090909090909,7.0,415.9343434343434,408.5,120.38383838383838,120.0
2021,3.0,30.18686868686869,31.0,12.575757575757576,13.0,5.51010101010101,6.0,1.5252525252525253,1.0,8.207070707070708,8.0,461.17676767676767,452.0,133.36868686868686,133.0
2022,0.0,14.886422363166549,14.0,5.6092318534179,5.0,1.411087620389946,1.0,0.45231383603476627,0.0,3.6128729151984964,3.0,240.03464881371858,220.0,68.27848249941273,68.0
2022,1.0,24.939393939393938,25.0,9.752525252525253,9.0,3.4797979797979797,3.0,1.4696969696969697,1.0,6.904040404040404,7.0,412.02525252525254,397.5,112.70202020202021,113.0
2022,2.0,26.63131313131313,28.0,10.792929292929292,11.0,4.383838383838384,5.0,1.4393939393939394,1.0,7.156565656565657,7.0,425.72222222222223,409.0,119.17171717171718,118.0
2022,3.0,28.232323232323232,29.5,11.702020202020202,11.0,4.722222222222222,4.0,1.7878787878787878,1.0,8.055555555555555,8.0,468.8939393939394,441.5,132.09595959595958,129.0
2023,0.0,15.114256825075834,14.0,5.589147286821706,5.0,1.4221997528367598,1.0,0.4620829120323559,0.0,3.7194697225030895,3.0,244.12998539489945,223.0,68.58970902145826,68.0
2023,1.0,24.067632850241544,25.0,9.879227053140097,10.0,3.8502415458937196,3.0,1.2705314009661837,1.0,6.734299516908212,6.0,392.6666666666667,371.0,111.80676328502416,112.0
2023,2.0,24.942028985507246,26.0,10.251207729468598,10.0,4.178743961352657,4.0,1.4492753623188406,1.0,7.169082125603865,7.0,403.2657004830918,389.0,113.30434782608695,112.0
2023,3.0,27.555555555555557,29.0,11.584541062801932,12.0,5.082125603864735,5.0,1.7342995169082125,1.0,7.971014492753623,8.0,450.3961352657005,445.0,125.64734299516908,126.0
2024,0.0,14.721941354903944,14.0,5.360408942815414,5.0,1.3971463880462869,1.0,0.4778114818559712,0.0,3.676328502415459,3.0,242.27603640040445,222.0,68.42208740590945,68.0
2024,1.0,24.154589371980677,26.0,9.57487922705314,9.0,3.753623188405797,3.0,1.289855072463768,1.0,6.869565217391305,7.0,407.19323671497585,396.0,113.17391304347827,113.0
2024,2.0,25.864734299516908,26.0,10.1256038647343,10.0,4.429951690821256,4.0,1.3043478260869565,1.0,7.314009661835748,7.0,425.33816425120773,406.0,116.69082125603865,116.0
2024,3.0,28.555555555555557,29.0,11.995169082125605,12.0,5.628019323671498,6.0,1.4009661835748792,1.0,8.082125603864734,8.0,456.69082125603865,441.0,128.18357487922705,128.0
2025,0.0,14.701738541431475,14.0,5.326710318356288,5.0,1.4204109279747121,1.0,0.4776473244524723,0.0,3.7516369383608037,3.0,241.54538270489954,220.0,68.43181305034997,68.0
2025,1.0,24.325242718446603,25.0,9.325242718446601,9.0,3.762135922330097,4.0,1.1359223300970873,1.0,6.533980582524272,6.0,422.06310679611653,422.0,110.0,109.0
2025,2.0,25.684466019417474,27.0,10.446601941747574,10.0,4.728155339805825,5.0,1.266990291262136,1.0,7.014563106796117,7.0,425.0485436893204,401.5,118.64077669902913,116.0
2025,3.0,28.29126213592233,29.0,11.601941747572816,11.5,5.266990291262136,5.0,1.5776699029126213,1.0,8.271844660194175,8.0,471.7135922330097,453.5,131.0,131.0
