season,player_position,votes,vote_share,n_three_votes,three_share
2015,BPL,14.0,0.011965811965811967,2,0.010256410256410256
2015,BPR,29.0,0.024786324786324785,5,0.02564102564102564
2015,C,256.0,0.2188034188034188,56,0.28717948717948716
2015,CHB,8.0,0.006837606837606838,0,0.0
2015,CHF,69.0,0.05897435897435897,13,0.06666666666666667
2015,FB,7.0,0.005982905982905983,1,0.005128205128205128
2015,FF,62.0,0.05299145299145299,10,0.05128205128205128
2015,FPL,30.0,0.02564102564102564,5,0.02564102564102564
2015,FPR,21.0,0.017948717948717947,4,0.020512820512820513
2015,HBFL,21.0,0.017948717948717947,4,0.020512820512820513
2015,HBFR,28.0,0.023931623931623933,4,0.020512820512820513
2015,HFFL,72.0,0.06153846153846154,8,0.041025641025641026
2015,HFFR,68.0,0.05811965811965812,9,0.046153846153846156
2015,INT,72.0,0.06153846153846154,11,0.05641025641025641
2015,R,114.0,0.09743589743589744,17,0.08717948717948718
2015,RK,64.0,0.0547008547008547,10,0.05128205128205128
2015,RR,120.0,0.10256410256410256,19,0.09743589743589744
2015,SUB,3.0,0.002564102564102564,1,0.005128205128205128
2015,WL,57.0,0.04871794871794872,8,0.041025641025641026
2015,WR,55.0,0.04700854700854701,8,0.041025641025641026
2016,BPL,6.0,0.005128205128205128,0,0.0
2016,BPR,14.0,0.011965811965811967,2,0.010256410256410256
2016,C,174.0,0.14871794871794872,27,0.13846153846153847
2016,CHB,17.0,0.01452991452991453,2,0.010256410256410256
2016,CHF,85.0,0.07264957264957266,14,0.07179487179487179
2016,FB,24.0,0.020512820512820513,3,0.015384615384615385
2016,FF,53.0,0.0452991452991453,9,0.046153846153846156
2016,FPL,53.0,0.0452991452991453,10,0.05128205128205128
2016,FPR,34.0,0.02905982905982906,3,0.015384615384615385
2016,HBFL,25.0,0.021367521367521368,2,0.010256410256410256
2016,HBFR,24.0,0.020512820512820513,2,0.010256410256410256
2016,HFFL,58.0,0.04957264957264957,12,0.06153846153846154
2016,HFFR,38.0,0.03247863247863248,5,0.02564102564102564
2016,INT,78.0,0.06666666666666667,11,0.05641025641025641
2016,R,146.0,0.12478632478632479,28,0.14358974358974358
2016,RK,47.0,0.040170940170940174,10,0.05128205128205128
2016,RR,145.0,0.12393162393162394,26,0.13333333333333333
2016,WL,78.0,0.06666666666666667,14,0.07179487179487179
2016,WR,71.0,0.06068376068376068,15,0.07692307692307693
2017,BPL,14.0,0.011784511784511785,1,0.005050505050505051
2017,BPR,27.0,0.022727272727272728,2,0.010101010101010102
2017,C,224.0,0.18855218855218855,45,0.22727272727272727
2017,CHB,15.0,0.012626262626262626,1,0.005050505050505051
2017,CHF,66.0,0.05555555555555555,12,0.06060606060606061
2017,FB,21.0,0.017676767676767676,2,0.010101010101010102
2017,FF,89.0,0.07491582491582492,15,0.07575757575757576
2017,FPL,32.0,0.026936026936026935,7,0.03535353535353535
2017,FPR,31.0,0.026094276094276093,6,0.030303030303030304
2017,HBFL,24.0,0.020202020202020204,4,0.020202020202020204
2017,HBFR,24.0,0.020202020202020204,2,0.010101010101010102
2017,HFFL,48.0,0.04040404040404041,9,0.045454545454545456
2017,HFFR,28.0,0.02356902356902357,3,0.015151515151515152
2017,INT,58.0,0.04882154882154882,8,0.04040404040404041
2017,R,142.0,0.11952861952861953,25,0.12626262626262627
2017,RK,46.0,0.03872053872053872,4,0.020202020202020204
2017,RR,166.0,0.13973063973063973,32,0.16161616161616163
