strategy,validation_year,min_train_year,max_train_year,n_seasons,n_observations,effective_n,train_seasons,rmse_allocated,rmse_raw,zero_vote_RMSE,poller_RMSE,top3_recall,match_sum_abs_max,n_validation_rows
expanding_all,2022,2015,2021,7,59136,59136.0,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.3153137594342417,0.3167506740380596,0.16749736837553225,1.0594127988538724,0.723905723905724,2.2371438035406754e-11,9108
expanding_all,2023,2015,2022,8,68244,68244.0,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",0.3809057262528894,0.38315891353720044,0.2216233735480453,1.2331631925285995,0.6376811594202898,1.9063861600443488e-11,9522
expanding_all,2024,2015,2023,9,77766,77766.0,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",0.37062141099178547,0.3745941432169116,0.2071028818807625,1.2212332066061058,0.6328502415458938,2.2578383607196884e-11,9522
expanding_all,2025,2015,2024,10,87288,87288.0,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",0.3566204989910542,0.35787105628219734,0.19735632736237246,1.1797410642425539,0.6537216828478966,2.1322499321740906e-11,9476
expanding_exclude_2020,2022,2015,2021,6,52404,52404.0,"[2015, 2016, 2017, 2018, 2019, 2021]",0.31711390116923643,0.3185450803883207,0.16593604764555422,1.0711086497061093,0.7239057239057239,2.1819879236772977e-11,9108
expanding_exclude_2020,2023,2015,2022,7,61512,61512.0,"[2015, 2016, 2017, 2018, 2019, 2021, 2022]",0.3826636316528413,0.38558196297340613,0.22615502705075446,1.2297106421612662,0.6312399355877618,1.98694394271115e-11,9522
expanding_exclude_2020,2024,2015,2023,8,71034,71034.0,"[2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023]",0.37086527121287377,0.37399621396247684,0.20623440824293807,1.2244706520043926,0.6328502415458939,2.0167867376130744e-11,9522
expanding_exclude_2020,2025,2015,2024,9,80556,80556.0,"[2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024]",0.35716963735509394,0.3584047346221319,0.19684101723439995,1.1835162711446534,0.6440129449838189,1.9841017717681098e-11,9476
trailing_8,2022,2015,2021,7,59136,59136.0,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.3153137594342417,0.3167506740380596,0.16749736837553225,1.0594127988538724,0.723905723905724,2.2371438035406754e-11,9108
trailing_8,2023,2015,2022,8,68244,68244.0,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",0.3809057262528894,0.38315891353720044,0.2216233735480453,1.2331631925285995,0.6376811594202898,1.9063861600443488e-11,9522
trailing_8,2024,2016,2023,8,69186,69186.0,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",0.3702351452946337,0.3739157826045914,0.20784550216534073,1.217623028718382,0.6344605475040258,2.1152857243578183e-11,9522
trailing_8,2025,2017,2024,8,70128,70128.0,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",0.35723274170875213,0.35863432597235484,0.19944454219954078,1.1775456491753886,0.6423948220064724,1.893774026484607e-11,9476
trailing_6,2022,2016,2021,6,50556,50556.0,"[2016, 2017, 2018, 2019, 2020, 2021]",0.31328017587401014,0.3147054690326901,0.16921050112924446,1.046177363329039,0.7255892255892257,2.0974333381218457e-11,9108
trailing_6,2023,2017,2022,6,51084,51084.0,"[2017, 2018, 2019, 2020, 2021, 2022]",0.3821260216526095,0.3844327555883189,0.22230579680620696,1.237184888079883,0.639291465378422,2.0909496356580348e-11,9522
trailing_6,2024,2018,2023,6,51894,51894.0,"[2018, 2019, 2020, 2021, 2022, 2023]",0.3759613747446367,0.3826754695831396,0.21581920654483197,1.224623609863835,0.6151368760064413,1.502620250448672e-11,9522
trailing_6,2025,2019,2024,6,52704,52704.0,"[2019, 2020, 2021, 2022, 2023, 2024]",0.3565591625912294,0.35797876885497537,0.19782128405837002,1.1783397751833298,0.6440129449838189,2.185363001672158e-11,9476
trailing_4,2022,2018,2021,4,33264,33264.0,"[2018, 2019, 2020, 2021]",0.3175518601436101,0.31901600651142853,0.16787532341926928,1.0687642579705987,0.7222222222222222,2.1644019909672352e-11,9108
trailing_4,2023,2019,2022,4,33660,33660.0,"[2019, 2020, 2021, 2022]",0.3830976978226537,0.3862132408808871,0.22334864372748706,1.2390989203693883,0.6312399355877616,2.0484947071963688e-11,9522
trailing_4,2024,2020,2023,4,34470,34470.0,"[2020, 2021, 2022, 2023]",0.37265868566655835,0.3778763256794504,0.21168097218028792,1.2194871811336903,0.6280193236714976,1.9774404336203588e-11,9522
trailing_4,2025,2021,2024,4,37260,37260.0,"[2021, 2022, 2023, 2024]",0.3583458888317181,0.35963907459057654,0.19387935772564302,1.1959105133493741,0.6456310679611651,2.100364326906856e-11,9476
decay_005,2022,2015,2021,7,59136,58545.660272647736,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.31568725738547365,0.3170793956504444,0.16936590339767266,1.0568572355221155,0.7239057239057239,2.1010748696426162e-11,9108
decay_005,2023,2015,2022,8,68244,67340.5618756542,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",0.3820552104190055,0.38488299159208506,0.2229008546690836,1.2353135150853196,0.6344605475040258,1.6493473253831326e-11,9522
decay_005,2024,2015,2023,9,77766,76456.96761224742,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",0.37369646865627276,0.3778905038486523,0.21003809856941463,1.2283957300731154,0.6247987117552335,2.084910022404074e-11,9522
decay_005,2025,2015,2024,10,87288,85487.42810808682,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",0.35775158897838666,0.3590314517436597,0.19692459741706225,1.186009471469106,0.6504854368932039,1.8670398560516333e-11,9476
decay_010,2022,2015,2021,7,59136,56846.284303738365,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",0.3161214046840831,0.31754773075652065,0.16948987413817668,1.058560816274155,0.7272727272727273,1.708588825977131e-11,9108
decay_010,2023,2015,2022,8,68244,64790.13478079205,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",0.3815035195334106,0.38414423424846544,0.2234548405682405,1.231257920569882,0.640901771336554,1.7762680215582805e-11,9522
decay_010,2024,2015,2023,9,77766,72843.7583106461,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",0.3729827528894626,0.37706060792507917,0.20832101525713767,1.2292604022655536,0.6183574879227055,1.9888091173925204e-11,9522
decay_010,2025,2015,2024,10,87288,80630.14335890445,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",0.356471366909347,0.3578486991564074,0.19461044634749639,1.1855738018670476,0.6504854368932039,2.1867840871436783e-11,9476
