season,team_won,votes,vote_share,team_result
2015,0,260.0,0.2222222222222222,losing
2015,1,910.0,0.7777777777777778,winning
2016,0,278.0,0.2376068376068376,losing
2016,1,892.0,0.7623931623931623,winning
2017,0,316.0,0.265993265993266,losing
2017,1,872.0,0.734006734006734,winning
2018,0,293.0,0.24663299663299662,losing
2018,1,895.0,0.7533670033670034,winning
2019,0,386.0,0.32491582491582494,losing
2019,1,802.0,0.6750841750841751,winning
2020,0,247.0,0.2690631808278867,losing
2020,1,671.0,0.7309368191721133,winning
2021,0,330.0,0.2777777777777778,losing
2021,1,858.0,0.7222222222222222,winning
2022,0,333.0,0.2803030303030303,losing
2022,1,855.0,0.7196969696969697,winning
2023,0,369.0,0.2971014492753623,losing
2023,1,873.0,0.7028985507246377,winning
2024,0,371.0,0.29871175523349436,losing
2024,1,871.0,0.7012882447665056,winning
2025,0,183.0,0.14805825242718446,losing
2025,1,1053.0,0.8519417475728155,winning
